tag,serie,arm,host,gpu,scheda,amp,inizio_utc,fine_utc,ore,fonte
zn_main,ucr_170,centralized,g4,0,RTX 4500 Ada Generation cc 8.9,float16,2026-08-04 23:07:17,2026-08-04 23:57:46,0.84,inferito+gpu
zn_main,ucr_170,federated,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-05 01:44:45,2026-08-05 05:45:05,4.01,inferito+gpu
zn_main,ucr_170,federated_cb_only,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-05 02:04:09,2026-08-05 04:26:32,2.37,inferito+gpu
zn_main,ucr_170,federated_cb_only_ema,g4,4,RTX 4500 Ada Generation cc 8.9,float16,2026-08-04 23:07:29,2026-08-05 01:54:53,2.79,inferito+gpu
zn_main,ucr_170,federated_fedavg_cb_only,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-05 02:05:12,2026-08-05 05:03:38,2.97,inferito+gpu
zn_main,ucr_170,local,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-05 01:38:22,2026-08-05 04:05:22,2.45,inferito+gpu
zn_main,ucr_222,centralized,g4,5,RTX 4500 Ada Generation cc 8.9,float16,2026-08-04 23:07:35,2026-08-05 00:38:49,1.52,inferito+gpu
zn_main,ucr_222,local,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-05 03:19:56,2026-08-05 09:02:34,5.71,inferito+gpu
zn_main,ucr_229,centralized,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-05 04:26:32,2026-08-05 05:28:21,1.03,inferito+gpu
zn_main,ucr_229,federated,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-05 05:03:38,2026-08-05 10:24:16,5.34,inferito+gpu
zn_main,ucr_229,federated_cb_only,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-05 05:28:21,2026-08-05 09:31:55,4.06,inferito+gpu
zn_main,ucr_229,federated_cb_only_ema,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-05 05:45:05,2026-08-05 10:43:16,4.97,inferito+gpu
zn_main,ucr_229,local,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-05 04:45:55,2026-08-05 07:40:29,2.91,inferito+gpu
zn_enc,ucr_001,federated_enc_commoninit,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-05 00:00:57,2026-08-05 05:43:58,5.72,inferito
zn_enc,ucr_001,federated_enc_fedavg,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-05 00:00:48,2026-08-05 04:11:34,4.18,inferito
zn_enc,ucr_001,federated_enc_fedproto,g2,1,Quadro RTX 8000 cc 7.5,?,2026-08-05 00:00:54,2026-08-05 05:17:18,5.27,inferito
zn_enc,ucr_001,federated_enc_fedprox,g2,1,Quadro RTX 8000 cc 7.5,?,2026-08-05 00:00:51,2026-08-05 06:14:18,6.22,inferito
zn_enc,ucr_011,federated_enc_commoninit,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-05 04:11:34,2026-08-05 07:25:19,3.23,inferito
zn_enc,ucr_011,federated_enc_fedavg,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-05 00:01:00,2026-08-05 03:07:30,3.11,inferito
zn_enc,ucr_011,federated_enc_fedproto,g2,1,Quadro RTX 8000 cc 7.5,?,2026-08-05 03:07:30,2026-08-05 06:01:38,2.90,inferito
zn_enc,ucr_011,federated_enc_fedprox,g2,1,Quadro RTX 8000 cc 7.5,?,2026-08-05 00:01:03,2026-08-05 04:35:37,4.58,inferito
zn_enc,ucr_229,federated_enc_fedavg,g2,1,QuadroRTX8000 cc 7.5,float16,2026-08-05 07:25:32,2026-08-05 09:43:19,2.30,registrato
zn_enc,ucr_229,federated_enc_fedprox,g2,1,QuadroRTX8000 cc 7.5,?,2026-08-05 07:25:35,,,registrato
